gyroX, -75.50, gyroY, 33.81, gyroZ, 136.17, accX, -1.11, accY, -0.12, accZ, 0.47, Pitch, 24.88, Roll, 60.03, Yaw, 8.58
gyroX, -66.28, gyroY, 50.84, gyroZ, 147.95, accX, -1.00, accY, -0.11, accZ, 0.25, Pitch, 10.64, Roll, 43.86, Yaw, 51.78
gyroX, -89.48, gyroY, 18.37, gyroZ, 166.50, accX, -0.96, accY, -0.07, accZ, 0.23, Pitch, 10.76, Roll, 12.98, Yaw, 112.81
gyroX, -85.14, gyroY, -51.45, gyroZ, 174.93, accX, -0.72, accY, 0.14, accZ, 0.37, Pitch, 12.55, Roll, -4.66, Yaw, -182.61
gyroX, -72.20, gyroY, -70.98, gyroZ, 123.66, accX, -0.71, accY, 0.30, accZ, 0.35, Pitch, 10.19, Roll, -11.20, Yaw, -128.05
gyroX, -50.54, gyroY, -136.90, gyroZ, 122.80, accX, -0.76, accY, 0.45, accZ, 0.56, Pitch, -4.41, Roll, -21.06, Yaw, -65.97
gyroX, -21.42, gyroY, -156.13, gyroZ, 101.62, accX, -0.62, accY, 0.53, accZ, 0.66, Pitch, -28.47, Roll, -46.34, Yaw, 20.17
gyroX, 9.83, gyroY, -127.26, gyroZ, 94.73, accX, -0.71, accY, 0.46, accZ, 0.71, Pitch, -6.56, Roll, -52.51, Yaw, 114.71
gyroX, 27.65, gyroY, -137.88, gyroZ, 88.26, accX, -0.46, accY, 0.48, accZ, 0.70, Pitch, -18.44, Roll, -28.28, Yaw, -155.87
gyroX, 19.10, gyroY, -76.05, gyroZ, 38.02, accX, -0.38, accY, 0.58, accZ, 0.74, Pitch, -25.30, Roll, -21.63, Yaw, -140.14
gyroX, -0.79, gyroY, -36.38, gyroZ, -4.82, accX, -0.34, accY, 0.68, accZ, 0.75, Pitch, -26.65, Roll, -14.25, Yaw, -143.00
gyroX, -51.15, gyroY, -18.01, gyroZ, -122.99, accX, -0.26, accY, 0.65, accZ, 0.69, Pitch, -29.83, Roll, -1.52, Yaw, -170.75
gyroX, -112.67, gyroY, 142.46, gyroZ, -252.81, accX, -0.56, accY, 0.51, accZ, 0.89, Pitch, 9.58, Roll, -11.34, Yaw, 120.29
gyroX, -128.42, gyroY, 82.15, gyroZ, -305.24, accX, -0.50, accY, 0.02, accZ, 0.73, Pitch, -38.02, Roll, 27.72, Yaw, -175.94
gyroX, -56.95, gyroY, 122.44, gyroZ, -295.59, accX, -1.33, accY, -0.29, accZ, 0.90, Pitch, 26.16, Roll, -50.43, Yaw, 39.14
gyroX, -50.42, gyroY, 84.59, gyroZ, -248.17, accX, -0.85, accY, -0.47, accZ, 0.40, Pitch, -40.65, Roll, -53.55, Yaw, -62.97
gyroX, -21.12, gyroY, -9.70, gyroZ, -129.09, accX, -1.37, accY, -0.55, accZ, 0.62, Pitch, -42.19, Roll, 9.62, Yaw, -172.11
gyroX, 14.65, gyroY, -26.92, gyroZ, 139.16, accX, -2.11, accY, -0.70, accZ, 0.82, Pitch, -27.85, Roll, -0.08, Yaw, -160.91
gyroX, 27.83, gyroY, -83.50, gyroZ, 316.89, accX, -0.92, accY, -0.52, accZ, 0.71, Pitch, -7.00, Roll, -28.86, Yaw, -67.57
gyroX, 86.98, gyroY, -87.52, gyroZ, 393.74, accX, -0.61, accY, -0.16, accZ, 0.78, Pitch, 8.20, Roll, 3.57, Yaw, 41.20
gyroX, 145.20, gyroY, -116.70, gyroZ, 388.98, accX, -0.44, accY, 0.13, accZ, 0.64, Pitch, -39.84, Roll, 13.44, Yaw, 144.65
gyroX, 238.46, gyroY, -314.03, gyroZ, 392.76, accX, 0.17, accY, 0.36, accZ, 0.43, Pitch, -30.29, Roll, -73.76, Yaw, -22.84
gyroX, 249.51, gyroY, -322.75, gyroZ, 290.89, accX, -0.07, accY, 0.53, accZ, 0.36, Pitch, -22.63, Roll, -25.10, Yaw, 94.78
gyroX, 232.24, gyroY, -421.94, gyroZ, 186.89, accX, 0.14, accY, 0.75, accZ, 0.46, Pitch, -54.28, Roll, -113.05, Yaw, -69.64
gyroX, 255.62, gyroY, -426.21, gyroZ, 134.95, accX, 0.17, accY, 0.92, accZ, 0.68, Pitch, 4.88, Roll, -72.80, Yaw, 39.82
gyroX, 235.05, gyroY, -364.81, gyroZ, 7.63, accX, 0.34, accY, 0.78, accZ, 0.45, Pitch, -29.97, Roll, -154.07, Yaw, -29.66
gyroX, 199.46, gyroY, -304.14, gyroZ, -47.12, accX, -0.03, accY, 0.61, accZ, 0.30, Pitch, 16.87, Roll, -101.87, Yaw, 41.53
gyroX, 124.69, gyroY, -162.05, gyroZ, -70.13, accX, 0.07, accY, 0.58, accZ, 0.43, Pitch, -19.76, Roll, -38.73, Yaw, 91.17
gyroX, 22.71, gyroY, 25.15, gyroZ, -100.77, accX, 0.22, accY, 1.17, accZ, 0.09, Pitch, -17.06, Roll, 33.56, Yaw, 47.70
gyroX, 25.76, gyroY, 75.99, gyroZ, -119.51, accX, -0.45, accY, 1.04, accZ, 0.24, Pitch, 58.69, Roll, 50.92, Yaw, 13.91
gyroX, -27.40, gyroY, 61.52, gyroZ, -75.50, accX, -0.31, accY, 1.08, accZ, -0.05, Pitch, 65.38, Roll, 150.91, Yaw, 122.05
gyroX, -68.85, gyroY, 25.57, gyroZ, 22.22, accX, -0.48, accY, 1.28, accZ, 0.34, Pitch, 57.03, Roll, 109.71, Yaw, 113.93
gyroX, -21.67, gyroY, -63.17, gyroZ, 19.78, accX, 0.81, accY, 0.70, accZ, 0.01, Pitch, 25.65, Roll, 85.83, Yaw, 105.04
gyroX, -192.44, gyroY, 23.19, gyroZ, -5.74, accX, -0.41, accY, 0.86, accZ, 0.11, Pitch, 42.51, Roll, 27.13, Yaw, 109.47
gyroX, -239.99, gyroY, 101.81, gyroZ, -19.65, accX, -0.51, accY, 1.32, accZ, 0.15, Pitch, 84.24, Roll, 52.00, Yaw, -131.12
gyroX, -124.63, gyroY, -129.64, gyroZ, 83.31, accX, -0.35, accY, 0.90, accZ, 0.33, Pitch, 14.91, Roll, 8.66, Yaw, -109.77
gyroX, -304.02, gyroY, 381.59, gyroZ, 114.26, accX, 0.43, accY, 0.13, accZ, 0.60, Pitch, 77.11, Roll, 146.59, Yaw, 166.37
gyroX, -290.83, gyroY, 394.59, gyroZ, 22.83, accX, 1.13, accY, 1.07, accZ, 0.77, Pitch, 9.57, Roll, 118.02, Yaw, -133.73
gyroX, -118.71, gyroY, 174.80, gyroZ, -17.76, accX, -0.19, accY, 0.81, accZ, 1.33, Pitch, 5.12, Roll, 86.47, Yaw, -95.85
gyroX, -22.89, gyroY, 52.19, gyroZ, 9.58, accX, -0.28, accY, 0.72, accZ, 0.79, Pitch, 6.10, Roll, 78.30, Yaw, -88.51
gyroX, -5.07, gyroY, -42.91, gyroZ, 53.83, accX, -0.34, accY, 0.59, accZ, 0.38, Pitch, -0.61, Roll, 73.44, Yaw, -94.30
gyroX, -72.08, gyroY, 71.29, gyroZ, 87.52, accX, -0.33, accY, 0.52, accZ, 0.29, Pitch, -6.26, Roll, 53.79, Yaw, -70.69
gyroX, -93.02, gyroY, 39.67, gyroZ, 166.26, accX, 0.00, accY, 0.59, accZ, 0.60, Pitch, 0.97, Roll, 21.50, Yaw, -15.21
gyroX, -161.93, gyroY, 80.75, gyroZ, 88.20, accX, 0.00, accY, 0.47, accZ, 0.50, Pitch, 44.05, Roll, -24.34, Yaw, 46.52
gyroX, -251.46, gyroY, 1.65, gyroZ, 99.00, accX, -0.40, accY, 0.32, accZ, 0.78, Pitch, 61.17, Roll, -45.72, Yaw, 112.46
gyroX, -223.88, gyroY, -137.94, gyroZ, 106.81, accX, 0.48, accY, 0.39, accZ, 0.74, Pitch, 19.22, Roll, -38.80, Yaw, -130.16
gyroX, -230.77, gyroY, -130.49, gyroZ, -41.32, accX, 0.32, accY, 0.21, accZ, 1.75, Pitch, 5.30, Roll, -102.53, Yaw, -95.72
gyroX, -98.82, gyroY, -99.49, gyroZ, -9.46, accX, -0.08, accY, 0.12, accZ, 1.13, Pitch, 24.58, Roll, -126.23, Yaw, -28.52
gyroX, -141.17, gyroY, -80.81, gyroZ, 117.61, accX, -0.90, accY, 0.01, accZ, 0.84, Pitch, 82.35, Roll, 139.02, Yaw, -73.16
gyroX, -219.79, gyroY, 109.50, gyroZ, 317.02, accX, -0.33, accY, -0.12, accZ, 1.85, Pitch, -0.70, Roll, 31.41, Yaw, -36.58
gyroX, -80.63, gyroY, 128.97, gyroZ, 231.87, accX, -0.16, accY, -0.47, accZ, 1.46, Pitch, 40.29, Roll, -5.38, Yaw, 77.95
gyroX, -81.12, gyroY, 225.40, gyroZ, 215.21, accX, -0.37, accY, -0.28, accZ, 1.53, Pitch, 47.42, Roll, 83.98, Yaw, -141.23
gyroX, -56.40, gyroY, 356.38, gyroZ, 369.51, accX, -0.28, accY, -1.08, accZ, 2.05, Pitch, -28.91, Roll, 35.20, Yaw, -4.12
gyroX, 64.15, gyroY, 314.15, gyroZ, 354.74, accX, -0.15, accY, -0.74, accZ, 2.14, Pitch, 30.04, Roll, 47.31, Yaw, 168.34
gyroX, 157.59, gyroY, 300.78, gyroZ, 386.78, accX, -0.68, accY, -0.72, accZ, 2.19, Pitch, -32.50, Roll, 19.37, Yaw, 4.92
gyroX, 286.80, gyroY, 331.54, gyroZ, 433.59, accX, -0.71, accY, -0.78, accZ, 2.04, Pitch, -26.29, Roll, 69.39, Yaw, -132.29
gyroX, 463.44, gyroY, 386.35, gyroZ, 458.86, accX, 0.75, accY, -0.68, accZ, 1.52, Pitch, -21.82, Roll, 62.10, Yaw, -171.91
gyroX, 608.64, gyroY, 179.81, gyroZ, 252.87, accX, 2.06, accY, -0.51, accZ, 1.12, Pitch, -39.58, Roll, 27.45, Yaw, 119.01
gyroX, 568.66, gyroY, -175.48, gyroZ, -37.48, accX, 1.13, accY, -0.64, accZ, -1.77, Pitch, -31.61, Roll, -110.60, Yaw, 112.00
gyroX, 312.68, gyroY, -547.24, gyroZ, -290.47, accX, 0.09, accY, 0.11, accZ, -0.08, Pitch, -11.21, Roll, -133.98, Yaw, -20.61
gyroX, 408.63, gyroY, -117.55, gyroZ, -444.82, accX, -1.38, accY, -0.07, accZ, -2.62, Pitch, -46.54, Roll, 167.64, Yaw, -81.11
gyroX, -43.64, gyroY, -341.00, gyroZ, -148.13, accX, -0.43, accY, -0.32, accZ, -0.71, Pitch, 52.36, Roll, -63.50, Yaw, 146.38
gyroX, -164.55, gyroY, -363.10, gyroZ, -218.81, accX, -0.81, accY, -0.58, accZ, 0.09, Pitch, 39.36, Roll, -93.56, Yaw, 126.33
gyroX, -132.14, gyroY, -442.75, gyroZ, -72.88, accX, -1.51, accY, -0.12, accZ, 1.21, Pitch, 55.77, Roll, -102.88, Yaw, 20.51
gyroX, -183.35, gyroY, -272.22, gyroZ, -24.78, accX, -0.17, accY, 0.08, accZ, 1.09, Pitch, 4.08, Roll, -56.98, Yaw, 146.92
gyroX, -343.02, gyroY, 75.26, gyroZ, -36.13, accX, -0.27, accY, -0.59, accZ, 1.76, Pitch, 11.12, Roll, -125.66, Yaw, 93.05
gyroX, -102.91, gyroY, -345.95, gyroZ, -201.84, accX, -0.39, accY, -0.95, accZ, 1.02, Pitch, 16.35, Roll, -128.05, Yaw, 155.33
gyroX, -87.77, gyroY, -224.18, gyroZ, -215.03, accX, -0.68, accY, -1.04, accZ, 0.94, Pitch, 11.47, Roll, -118.77, Yaw, -149.18
gyroX, -133.67, gyroY, 177.67, gyroZ, -110.41, accX, -0.61, accY, -1.37, accZ, 0.95, Pitch, -37.47, Roll, -137.13, Yaw, -159.83
gyroX, -146.18, gyroY, -148.25, gyroZ, 51.51, accX, -1.53, accY, -0.44, accZ, 1.07, Pitch, -22.52, Roll, 166.94, Yaw, -176.46
gyroX, -169.25, gyroY, 15.44, gyroZ, 425.29, accX, -0.80, accY, -1.09, accZ, 0.59, Pitch, -35.79, Roll, 174.08, Yaw, -53.81
gyroX, -333.62, gyroY, 58.59, gyroZ, 373.66, accX, -0.49, accY, -0.78, accZ, 0.98, Pitch, -62.15, Roll, 159.03, Yaw, 48.87
gyroX, -155.33, gyroY, -39.73, gyroZ, 295.29, accX, -0.58, accY, -0.34, accZ, 1.15, Pitch, 21.71, Roll, 177.93, Yaw, -160.20
gyroX, -92.53, gyroY, -33.08, gyroZ, 298.71, accX, -0.51, accY, -0.29, accZ, 0.94, Pitch, -11.19, Roll, 116.22, Yaw, 116.28
gyroX, -44.86, gyroY, 22.77, gyroZ, 297.24, accX, -0.30, accY, 0.16, accZ, 0.80, Pitch, -81.09, Roll, 149.02, Yaw, 46.70
gyroX, -94.12, gyroY, 71.04, gyroZ, 172.55, accX, -0.06, accY, 0.26, accZ, 0.25, Pitch, 8.53, Roll, -102.46, Yaw, -89.76
gyroX, -202.27, gyroY, 151.00, gyroZ, 38.09, accX, -0.10, accY, 0.22, accZ, 0.57, Pitch, -0.43, Roll, -170.36, Yaw, -136.40
gyroX, -117.37, gyroY, 93.87, gyroZ, -53.89, accX, -0.28, accY, 0.18, accZ, 0.75, Pitch, -19.07, Roll, 42.11, Yaw, -57.56
gyroX, -53.41, gyroY, 97.23, gyroZ, -106.57, accX, -0.23, accY, -0.14, accZ, 0.96, Pitch, 25.21, Roll, 8.12, Yaw, -72.95
gyroX, 93.57, gyroY, 8.48, gyroZ, -257.93, accX, -0.34, accY, -0.48, accZ, 0.72, Pitch, 23.23, Roll, -16.63, Yaw, -169.43
gyroX, 90.64, gyroY, 242.86, gyroZ, -384.34, accX, -0.78, accY, -1.05, accZ, 0.68, Pitch, 2.93, Roll, -44.25, Yaw, 21.01
gyroX, 208.62, gyroY, 179.20, gyroZ, -297.49, accX, -1.38, accY, -0.93, accZ, 0.56, Pitch, 48.83, Roll, -26.30, Yaw, -179.78
gyroX, 321.11, gyroY, 298.58, gyroZ, -30.76, accX, -1.10, accY, -1.32, accZ, -0.07, Pitch, 43.93, Roll, -89.38, Yaw, -92.42
gyroX, 296.20, gyroY, 287.41, gyroZ, 42.42, accX, -0.70, accY, -1.22, accZ, -0.28, Pitch, 38.85, Roll, -92.64, Yaw, 76.27
gyroX, 231.81, gyroY, 179.08, gyroZ, -99.55, accX, -0.87, accY, -1.63, accZ, -0.64, Pitch, 35.66, Roll, -66.06, Yaw, -93.35
gyroX, 174.80, gyroY, 96.92, gyroZ, -120.54, accX, -1.59, accY, -1.55, accZ, -0.67, Pitch, 26.12, Roll, -52.99, Yaw, -139.40
gyroX, 20.81, gyroY, 167.11, gyroZ, 129.03, accX, -1.67, accY, -1.00, accZ, -1.02, Pitch, 74.47, Roll, -117.82, Yaw, 139.28
gyroX, -351.50, gyroY, 227.91, gyroZ, 350.52, accX, -1.11, accY, -1.09, accZ, -0.79, Pitch, -14.30, Roll, 90.02, Yaw, 72.57
gyroX, -464.48, gyroY, 178.96, gyroZ, 413.39, accX, -0.81, accY, -0.97, accZ, -0.43, Pitch, 26.12, Roll, -80.73, Yaw, 157.84
gyroX, -616.64, gyroY, 295.17, gyroZ, 406.25, accX, -0.62, accY, -0.85, accZ, 0.20, Pitch, -23.28, Roll, 65.26, Yaw, 99.56
gyroX, -425.78, gyroY, -34.30, gyroZ, 407.04, accX, -0.60, accY, -0.31, accZ, 0.75, Pitch, 40.75, Roll, -85.88, Yaw, -177.76
gyroX, -114.38, gyroY, -140.81, gyroZ, 403.50, accX, -0.07, accY, 0.37, accZ, 0.15, Pitch, -17.78, Roll, 28.31, Yaw, 35.24
gyroX, -61.28, gyroY, 52.98, gyroZ, 214.84, accX, 0.07, accY, 0.77, accZ, -0.12, Pitch, 26.17, Roll, 3.48, Yaw, -163.79
gyroX, -36.50, gyroY, -66.77, gyroZ, 100.65, accX, 0.08, accY, 0.70, accZ, -0.21, Pitch, -9.70, Roll, 18.41, Yaw, -126.00
gyroX, -50.48, gyroY, -123.17, gyroZ, 13.37, accX, -0.16, accY, 0.85, accZ, -0.19, Pitch, -26.85, Roll, 20.62, Yaw, -129.47
gyroX, -46.08, gyroY, -157.90, gyroZ, -8.85, accX, -0.36, accY, 0.84, accZ, -0.19, Pitch, -45.14, Roll, 32.72, Yaw, -150.75
gyroX, -65.67, gyroY, -81.60, gyroZ, 23.44, accX, -0.50, accY, 0.83, accZ, -0.10, Pitch, -53.93, Roll, 44.39, Yaw, -173.18
gyroX, -71.72, gyroY, -52.98, gyroZ, 45.53, accX, -0.48, accY, 0.81, accZ, -0.04, Pitch, -58.16, Roll, 43.99, Yaw, -182.57
gyroX, -37.41, gyroY, -52.49, gyroZ, 77.82, accX, -0.33, accY, 0.91, accZ, -0.07, Pitch, -79.76, Roll, 41.57, Yaw, 162.92
gyroX, -57.62, gyroY, -19.96, gyroZ, 67.93, accX, -0.28, accY, 0.91, accZ, 0.03, Pitch, -75.31, Roll, 167.68, Yaw, 7.28
gyroX, -38.39, gyroY, -14.65, gyroZ, 67.02, accX, -0.18, accY, 0.94, accZ, 0.01, Pitch, -73.36, Roll, 168.07, Yaw, -6.79
gyroX, -27.22, gyroY, 0.55, gyroZ, 55.85, accX, -0.11, accY, 0.87, accZ, -0.01, Pitch, -73.73, Roll, 162.92, Yaw, -10.34
gyroX, -24.72, gyroY, 7.08, gyroZ, 42.42, accX, -0.04, accY, 0.94, accZ, 0.05, Pitch, -73.34, Roll, 118.23, Yaw, 14.80
gyroX, -9.46, gyroY, 44.74, gyroZ, 32.10, accX, 0.03, accY, 0.90, accZ, -0.03, Pitch, -70.52, Roll, 74.33, Yaw, 57.50
gyroX, -50.42, gyroY, 55.73, gyroZ, -12.15, accX, -0.08, accY, 0.89, accZ, -0.06, Pitch, -47.74, Roll, 49.26, Yaw, 77.99
gyroX, -49.26, gyroY, 90.76, gyroZ, -23.01, accX, -0.11, accY, 0.91, accZ, 0.08, Pitch, -19.63, Roll, 40.24, Yaw, 82.74
gyroX, -26.67, gyroY, 56.03, gyroZ, -47.36, accX, -0.15, accY, 0.85, accZ, 0.12, Pitch, 8.15, Roll, 42.38, Yaw, 84.35
gyroX, 0.55, gyroY, 13.49, gyroZ, -67.32, accX, -0.18, accY, 0.90, accZ, 0.12, Pitch, 23.95, Roll, 48.72, Yaw, 76.70
gyroX, 29.85, gyroY, 47.49, gyroZ, -49.38, accX, -0.22, accY, 0.85, accZ, 0.09, Pitch, 46.84, Roll, 73.06, Yaw, 78.35
gyroX, 71.72, gyroY, -4.27, gyroZ, -93.20, accX, -0.37, accY, 0.93, accZ, -0.02, Pitch, 60.66, Roll, 94.61, Yaw, 83.13
gyroX, 91.98, gyroY, 1.89, gyroZ, -108.09, accX, -0.48, accY, 0.80, accZ, -0.23, Pitch, 77.10, Roll, 146.39, Yaw, 111.64
gyroX, 49.13, gyroY, 44.92, gyroZ, -86.91, accX, -0.37, accY, 0.76, accZ, -0.29, Pitch, 64.25, Roll, -153.16, Yaw, 158.12
gyroX, 52.06, gyroY, 86.98, gyroZ, -95.52, accX, -0.15, accY, 0.82, accZ, -0.22, Pitch, 35.31, Roll, -153.51, Yaw, 155.71
gyroX, 103.76, gyroY, 34.79, gyroZ, -191.59, accX, -0.07, accY, 0.60, accZ, -0.32, Pitch, -36.31, Roll, -133.61, Yaw, -153.64
